faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
17-21,Masculino,Branca,20,Não,,RJ,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,1.0
17-21,Masculino,Branca,20,Não,,DF,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Masculino,Amarela,20,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Não acredito que minha experiência profissional seja afetada devido a esses fatores",SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,20,Não,,RS,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,,1.0,,1.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Feminino,Branca,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,DF,Estudante de Graduação,Outra opção,Estagiário,Outra Opção,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,0.0,0.0,0.0,0.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,,0.0,,0.0
17-21,Feminino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,,1.0,,1.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,,0.0,,0.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,,0.0,,0.0
17-21,Feminino,Branca,20,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",PR,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,,1.0,,1.0
17-21,Masculino,Branca,20,Não,,PR,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,20,Não,,RS,Estudante de Graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Estagiário,Professor/Pesquisador,Menos de R$ 1.000/mês,Menos de 1 ano,,1.0,,0.0
